City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
256,Husavik,IS,66.0449,-17.3389,39.11,73,60,15.32,broken clouds
257,Samarai,PG,-10.6167,150.6667,79.11,88,54,14.38,broken clouds
258,Muravlenko,RU,63.7898,74.523,31.19,89,22,4.92,few clouds
259,Khandyga,RU,62.6667,135.6,34.32,54,100,4.76,overcast clouds
260,Gorlice,PL,49.6556,21.1604,57.22,89,100,5.82,overcast clouds
261,Nizhniy Kuranakh,RU,58.8353,125.4869,30.29,98,100,3.29,snow
262,Pitimbu,BR,-7.4706,-34.8086,79.39,82,86,12.64,overcast clouds
263,Karratha,AU,-20.7377,116.8463,72.36,31,7,7.67,clear sky
264,Mirabad,AF,30.4362,61.8383,78.28,24,0,12.01,clear sky
265,Buala,SB,-8.145,159.5921,81.84,81,90,9.93,light rain
266,Waipawa,NZ,-41.4122,175.5153,52.45,89,100,8.57,overcast clouds
267,Aqtobe,KZ,50.2797,57.2072,41.09,65,0,6.71,clear sky
268,Gannan,CN,47.9147,123.5031,40.01,55,56,6.31,broken clouds
269,Mongo,TD,12.1844,18.693,82.56,56,79,3.11,broken clouds
270,Gamba,GA,-2.65,10.0,75.36,87,98,7.7,overcast clouds
271,Miles City,US,46.4083,-105.8406,63.57,29,90,12.66,overcast clouds
272,Jalu,LY,29.0331,21.5482,77.16,61,0,11.41,clear sky
273,Tigzirt,DZ,36.8886,4.1198,70.93,79,7,7.67,clear sky
274,Buzmeyin,TM,38.0507,58.2056,68.4,35,0,4.16,clear sky
275,Porto Santo,PT,33.072,-16.3415,71.98,60,75,14.97,broken clouds
276,Carnarvon,AU,-24.8667,113.6333,67.06,84,35,9.98,scattered clouds
277,Panaba,MX,21.2833,-88.2667,93.22,42,17,11.79,few clouds
278,Asau,RO,46.4333,26.4,51.28,88,7,1.59,light rain
279,Mora,CM,11.0461,14.1401,78.31,75,97,2.91,light rain
280,Kelvington,CA,52.1667,-103.5343,67.66,43,79,15.46,broken clouds
281,Qurayyat,SA,31.3318,37.3428,71.94,56,0,11.61,clear sky
282,Atar,MR,20.5169,-13.0499,96.37,10,4,7.23,clear sky
283,Millville,US,39.4021,-75.0393,70.92,49,1,1.99,clear sky
284,Soldotna,US,60.4878,-151.0583,43.07,58,1,5.75,clear sky
285,Kousseri,CM,12.0769,15.0306,80.56,83,0,4.61,clear sky
286,Avera,US,33.194,-82.5271,87.71,36,0,2.53,clear sky
287,Brodokalmak,RU,55.5748,62.082,38.3,81,80,7.47,broken clouds
288,Vinh,VN,18.6667,105.6667,76.75,92,36,2.53,scattered clouds
289,Lerwick,GB,60.1545,-1.1494,46.4,79,72,7.27,broken clouds
290,Ilave,PE,-16.0833,-69.6667,56.95,39,0,13.31,clear sky
291,Pevek,RU,69.7008,170.3133,27.81,82,100,21.92,overcast clouds
292,Bengkulu,ID,-3.8004,102.2655,75.2,91,99,10.51,moderate rain
293,Aviles,ES,43.5547,-5.9248,61.93,87,40,2.3,scattered clouds
294,Margate,GB,51.3813,1.3862,52.03,72,10,1.99,clear sky
295,Lulea,SE,65.5842,22.1547,46.47,81,90,4.61,overcast clouds
296,Eisenach,DE,50.9833,10.3167,49.6,81,2,11.65,clear sky
297,Tamiahua,MX,21.2667,-97.45,86.27,70,92,10.25,overcast clouds
298,Hambantota,LK,6.1241,81.1185,80.65,74,97,9.73,overcast clouds
299,Kloulklubed,PW,7.0419,134.2556,77.5,75,94,7.14,light rain
300,Hostotipaquillo,MX,21.0667,-104.0667,83.3,46,48,2.37,scattered clouds
301,Chake Chake,TZ,-5.2459,39.7666,75.27,88,3,7.11,clear sky
302,Qui Nhon,VN,13.7667,109.2333,77.47,91,9,4.97,clear sky
303,Orshanka,RU,56.9161,47.8933,42.24,85,100,4.23,overcast clouds
304,Simbahan,PH,6.3032,120.5836,82.85,74,100,4.09,overcast clouds
305,Deputatskiy,RU,69.3,139.9,11.89,90,13,3.58,few clouds
306,Dali,CN,25.7,100.1833,58.68,91,37,0.94,scattered clouds
307,Lima,PE,-12.0432,-77.0282,63.39,93,90,8.05,overcast clouds
308,Portland,US,45.5234,-122.6762,69.37,60,75,3.0,broken clouds
309,Zhuhai,CN,22.2769,113.5678,85.71,84,0,4.61,clear sky
310,San Quintin,MX,30.4833,-115.95,70.47,60,4,14.61,clear sky
311,Kavaratti,IN,10.5669,72.642,81.27,77,22,15.1,few clouds
